item_name,category,manufacturer,model,serial_number,scu_number,quantity,low_threshold,location,notes,is_active,source_url
M18 FUEL 1/2 in. Hammer Drill/Driver,Cordless Drills,Milwaukee,2904-20,MILW-2026-0001-3898,TOOL-0001,4,1,"Row 1, Shelf 1",Sample warehouse inventory record.,True,https://www.milwaukeetool.com/products/details/m18-fuel-1-2-hammer-drill-driver-cordless-power-tool/2904-20
M18 FUEL 1/2 in. Drill/Driver,Cordless Drills,Milwaukee,2903-20,MILW-2026-0002-5933,TOOL-0002,16,5,"Row 2, Shelf 1",Sample warehouse inventory record.,True,https://www.milwaukeetool.com/products/details/m18-fuel-1-2-drill-driver/2903-20
M18 Compact 1/2 in. Drill Driver,Cordless Drills,Milwaukee,2606-20,MILW-2026-0003-5442,TOOL-0003,16,5,"Row 3, Shelf 1",Sample warehouse inventory record.,True,https://www.milwaukeetool.com/products/details/m18-1-2-drill-driver/2606-20
M18 FUEL 1/4 in. Hex Impact Driver,Impact Drivers,Milwaukee,2953-20,MILW-2026-0004-2959,TOOL-0004,18,5,"Row 4, Shelf 1",Sample warehouse inventory record.,True,https://www.milwaukeetool.com/products/power-tools/fastening/impact-drivers
M18 FUEL 7-1/4 in. Circular Saw,Circular Saws,Milwaukee,2834-20,MILW-2026-0005-2057,TOOL-0005,9,3,"Row 5, Shelf 1",Sample warehouse inventory record.,True,https://www.milwaukeetool.com/products/power-tools/saws/circular-saws
M18 FUEL SAWZALL Reciprocating Saw,Reciprocating Saws,Milwaukee,2821-20,MILW-2026-0006-7981,TOOL-0006,9,3,"Row 6, Shelf 1",Sample warehouse inventory record.,True,https://www.milwaukeetool.com/products/power-tools/saws/reciprocating-saws
M18 FUEL 4-1/2 to 6 in. Braking Grinder,Grinders,Milwaukee,3670-20,MILW-2026-0007-7415,TOOL-0007,10,3,"Row 7, Shelf 1",Sample warehouse inventory record.,True,https://www.milwaukeetool.com/innovations/m18-fuel
M18 FUEL 1 in. SDS Plus Rotary Hammer,Rotary Hammers,Milwaukee,2912-20,MILW-2026-0008-5141,TOOL-0008,6,2,"Row 8, Shelf 1",Inspect bit holder and cord or battery before use.,True,https://www.milwaukeetool.com/products/power-tools/concrete/rotary-hammers
60V MAX Brushless 7-1/4 in. Circular Saw,Circular Saws,DEWALT,DCS578B,DEWA-2026-0009-6109,TOOL-0009,15,5,"Row 9, Shelf 1",Sample warehouse inventory record.,True,https://www.dewalt.com/en-us/product/dcs578b/60v-max-brushless-cordless-7-14-circular-saw-electronic-brake-tool-only
60V FLEXVOLT Worm Drive Style Circular Saw,Circular Saws,DEWALT,DCS587B,DEWA-2026-0010-3534,TOOL-0010,13,4,"Row 10, Shelf 1",Sample warehouse inventory record.,True,https://www.dewalt.com/en-us/product/dcs587x1/60v-flexvolt-7-14-worm-drive-style-circular-saw-tool-connect-kit
20V MAX XR 1/2 in. Hammer Drill/Driver,Cordless Drills,DEWALT,DCD996B,DEWA-2026-0011-3966,TOOL-0011,3,1,"Row 1, Shelf 2",Sample warehouse inventory record.,True,https://www.dewalt.com/en-us/products/power-tools/drills
20V MAX XR 1/4 in. Impact Driver,Impact Drivers,DEWALT,DCF887B,DEWA-2026-0012-3990,TOOL-0012,18,5,"Row 2, Shelf 2",Sample warehouse inventory record.,True,https://www.dewalt.com/en-us/products/power-tools/impact-drivers-wrenches
12 in. Double Bevel Sliding Compound Miter Saw,Miter Saws,DEWALT,DWS780,DEWA-2026-0013-7183,TOOL-0013,13,4,"Row 3, Shelf 2",Sample warehouse inventory record.,True,https://www.dewalt.com/en-us/products/power-tools/saws/miter-saws
8-1/4 in. Compact Jobsite Table Saw,Table Saws,DEWALT,DWE7485,DEWA-2026-0014-4153,TOOL-0014,7,2,"Row 4, Shelf 2",Sample warehouse inventory record.,True,https://www.dewalt.com/en-us/products/power-tools/saws/table-saws
20V MAX XR Reciprocating Saw,Reciprocating Saws,DEWALT,DCS367B,DEWA-2026-0015-8515,TOOL-0015,5,1,"Row 5, Shelf 2",Sample warehouse inventory record.,True,https://www.dewalt.com/en-us/products/power-tools/saws/reciprocating-saws
20V MAX XR 4-1/2 to 5 in. Angle Grinder,Grinders,DEWALT,DCG413B,DEWA-2026-0016-3927,TOOL-0016,12,4,"Row 6, Shelf 2",Sample warehouse inventory record.,True,https://www.dewalt.com/en-us/products/power-tools/grinders
18V LXT Brushless 1/2 in. Hammer Driver-Drill,Cordless Drills,Makita,XPH14Z,MAKI-2026-0017-7864,TOOL-0017,18,5,"Row 7, Shelf 2",Sample warehouse inventory record.,True,https://www.makitatools.com/products/tools/cordless/18v-lxt/drilling-fastening
18V LXT Brushless Impact Driver,Impact Drivers,Makita,XDT19Z,MAKI-2026-0018-8707,TOOL-0018,15,5,"Row 8, Shelf 2",Sample warehouse inventory record.,True,https://www.makitatools.com/products/tools/cordless/18v-lxt/drilling-fastening
18V X2 LXT 7-1/4 in. Circular Saw,Circular Saws,Makita,XSH06Z,MAKI-2026-0019-1966,TOOL-0019,12,4,"Row 9, Shelf 2",Sample warehouse inventory record.,True,https://www.makitatools.com/products/tools/cordless/18v-x2-lxt/saws
18V LXT Brushless Recipro Saw,Reciprocating Saws,Makita,XRJ05Z,MAKI-2026-0020-1787,TOOL-0020,6,2,"Row 10, Shelf 2",Sample warehouse inventory record.,True,https://www.makitatools.com/products/tools/cordless/18v-lxt/saws
12 in. Dual-Bevel Sliding Compound Miter Saw,Miter Saws,Makita,LS1219L,MAKI-2026-0021-5542,TOOL-0021,18,5,"Row 1, Shelf 3",Sample warehouse inventory record.,True,https://www.makitatools.com/products/tools/corded/saws/miter-saws
18V LXT Brushless 4-1/2 to 5 in. Angle Grinder,Grinders,Makita,XAG04Z,MAKI-2026-0022-3077,TOOL-0022,9,3,"Row 2, Shelf 3",Sample warehouse inventory record.,True,https://www.makitatools.com/products/tools/cordless/18v-lxt/grinding-sanding
18V LXT Brushless 1 in. Rotary Hammer,Rotary Hammers,Makita,XRH01Z,MAKI-2026-0023-3115,TOOL-0023,7,2,"Row 3, Shelf 3",Inspect bit holder and cord or battery before use.,True,https://www.makitatools.com/products/tools/cordless/18v-lxt/concrete-masonry
18V LXT 3-1/4 in. Planer,Planers,Makita,XPK01Z,MAKI-2026-0024-7069,TOOL-0024,7,2,"Row 4, Shelf 3",Sample warehouse inventory record.,True,https://www.makitatools.com/products/tools/cordless/18v-lxt/planing
18V Brushless Top-Handle Jig Saw,Jig Saws,Bosch,GST18V-50B,BOSC-2026-0025-3184,TOOL-0025,13,4,"Row 5, Shelf 3",Sample warehouse inventory record.,True,https://www.boschtools.com/us/en/jig-saws-23533-ocs-c/
1-1/8 in. SDS-plus Bulldog Xtreme Rotary Hammer,Rotary Hammers,Bosch,GBH2-28L,BOSC-2026-0026-1332,TOOL-0026,12,4,"Row 6, Shelf 3",Inspect bit holder and cord or battery before use.,True,https://www.boschtools.com/us/en/rotary-hammers-23534-ocs-c/
165 ft. Laser Measure,Laser Measures,Bosch,GLM165-40,BOSC-2026-0027-7465,TOOL-0027,17,5,"Row 7, Shelf 3",Keep in protective case.,True,https://www.boschtools.com/us/en/laser-measures-23518-ocs-c/
